Category: All categories

Week,Restaurant: (South Africa)
2019-09-01,52
2019-09-08,56
2019-09-15,52
2019-09-22,65
2019-09-29,56
2019-10-06,59
2019-10-13,59
2019-10-20,58
2019-10-27,54
2019-11-03,62
2019-11-10,62
2019-11-17,68
2019-11-24,67
2019-12-01,70
2019-12-08,72
2019-12-15,84
2019-12-22,95
2019-12-29,100
2020-01-05,64
2020-01-12,64
2020-01-19,67
2020-01-26,65
2020-02-02,64
2020-02-09,77
2020-02-16,63
2020-02-23,64
2020-03-01,59
2020-03-08,56
2020-03-15,39
2020-03-22,21
2020-03-29,13
2020-04-05,14
2020-04-12,18
2020-04-19,15
2020-04-26,21
2020-05-03,21
2020-05-10,19
2020-05-17,18
2020-05-24,19
2020-05-31,20
2020-06-07,18
2020-06-14,23
2020-06-21,27
2020-06-28,29
2020-07-05,26
2020-07-12,25
2020-07-19,28
2020-07-26,28
2020-08-02,32
2020-08-09,34
2020-08-16,41
2020-08-23,55
