Category: All categories

Week,Sewing: (South Africa)
2019-09-01,35
2019-09-08,48
2019-09-15,40
2019-09-22,47
2019-09-29,40
2019-10-06,40
2019-10-13,40
2019-10-20,38
2019-10-27,43
2019-11-03,39
2019-11-10,44
2019-11-17,37
2019-11-24,38
2019-12-01,39
2019-12-08,42
2019-12-15,38
2019-12-22,31
2019-12-29,36
2020-01-05,33
2020-01-12,44
2020-01-19,44
2020-01-26,39
2020-02-02,45
2020-02-09,37
2020-02-16,41
2020-02-23,38
2020-03-01,36
2020-03-08,43
2020-03-15,41
2020-03-22,44
2020-03-29,41
2020-04-05,55
2020-04-12,68
2020-04-19,73
2020-04-26,100
2020-05-03,89
2020-05-10,79
2020-05-17,72
2020-05-24,60
2020-05-31,55
2020-06-07,66
2020-06-14,58
2020-06-21,59
2020-06-28,55
2020-07-05,56
2020-07-12,58
2020-07-19,61
2020-07-26,48
2020-08-02,47
2020-08-09,56
2020-08-16,52
2020-08-23,59
