Category: All categories

Week,Bar: (Spain)
2019-09-01,84
2019-09-08,82
2019-09-15,81
2019-09-22,81
2019-09-29,83
2019-10-06,82
2019-10-13,75
2019-10-20,78
2019-10-27,86
2019-11-03,75
2019-11-10,75
2019-11-17,77
2019-11-24,74
2019-12-01,90
2019-12-08,82
2019-12-15,80
2019-12-22,94
2019-12-29,93
2020-01-05,76
2020-01-12,75
2020-01-19,71
2020-01-26,76
2020-02-02,78
2020-02-09,83
2020-02-16,81
2020-02-23,82
2020-03-01,77
2020-03-08,54
2020-03-15,22
2020-03-22,23
2020-03-29,23
2020-04-05,23
2020-04-12,23
2020-04-19,24
2020-04-26,30
2020-05-03,36
2020-05-10,49
2020-05-17,53
2020-05-24,66
2020-05-31,66
2020-06-07,72
2020-06-14,72
2020-06-21,78
2020-06-28,78
2020-07-05,84
2020-07-12,83
2020-07-19,86
2020-07-26,89
2020-08-02,97
2020-08-09,100
2020-08-16,99
2020-08-23,95
