Category: All categories

Week,Cafe: (Spain)
2019-09-01,94
2019-09-08,92
2019-09-15,90
2019-09-22,93
2019-09-29,96
2019-10-06,94
2019-10-13,89
2019-10-20,96
2019-10-27,97
2019-11-03,89
2019-11-10,86
2019-11-17,93
2019-11-24,90
2019-12-01,93
2019-12-08,94
2019-12-15,88
2019-12-22,100
2019-12-29,100
2020-01-05,87
2020-01-12,92
2020-01-19,90
2020-01-26,93
2020-02-02,90
2020-02-09,96
2020-02-16,93
2020-02-23,91
2020-03-01,90
2020-03-08,62
2020-03-15,53
2020-03-22,56
2020-03-29,67
2020-04-05,83
2020-04-12,84
2020-04-19,79
2020-04-26,76
2020-05-03,73
2020-05-10,76
2020-05-17,78
2020-05-24,82
2020-05-31,80
2020-06-07,88
2020-06-14,82
2020-06-21,83
2020-06-28,81
2020-07-05,84
2020-07-12,83
2020-07-19,87
2020-07-26,88
2020-08-02,94
2020-08-09,92
2020-08-16,93
2020-08-23,90
