Category: All categories

Week,Restaurant: (Spain)
2019-09-01,85
2019-09-08,88
2019-09-15,79
2019-09-22,83
2019-09-29,78
2019-10-06,77
2019-10-13,64
2019-10-20,72
2019-10-27,82
2019-11-03,68
2019-11-10,67
2019-11-17,77
2019-11-24,67
2019-12-01,71
2019-12-08,68
2019-12-15,63
2019-12-22,77
2019-12-29,85
2020-01-05,62
2020-01-12,57
2020-01-19,57
2020-01-26,61
2020-02-02,63
2020-02-09,71
2020-02-16,69
2020-02-23,64
2020-03-01,61
2020-03-08,42
2020-03-15,12
2020-03-22,12
2020-03-29,13
2020-04-05,12
2020-04-12,14
2020-04-19,14
2020-04-26,16
2020-05-03,14
2020-05-10,15
2020-05-17,21
2020-05-24,27
2020-05-31,31
2020-06-07,37
2020-06-14,43
2020-06-21,51
2020-06-28,54
2020-07-05,64
2020-07-12,68
2020-07-19,70
2020-07-26,75
2020-08-02,89
2020-08-09,98
2020-08-16,100
2020-08-23,84
