Category: All categories

Day,bar: (Worldwide)
2020-01-12,85
2020-01-13,71
2020-01-14,72
2020-01-15,74
2020-01-16,76
2020-01-17,84
2020-01-18,100
2020-01-19,89
2020-01-20,72
2020-01-21,72
2020-01-22,73
2020-01-23,74
2020-01-24,84
2020-01-25,100
2020-01-26,85
2020-01-27,69
2020-01-28,71
2020-01-29,71
2020-01-30,75
2020-01-31,83
2020-02-01,97
2020-02-02,88
2020-02-03,67
2020-02-04,73
2020-02-05,73
2020-02-06,75
2020-02-07,84
2020-02-08,97
2020-02-09,87
2020-02-10,71
2020-02-11,72
2020-02-12,75
2020-02-13,78
2020-02-14,91
2020-02-15,100
2020-02-16,91
2020-02-17,77
2020-02-18,74
2020-02-19,76
2020-02-20,86
2020-02-21,89
2020-02-22,98
2020-02-23,89
2020-02-24,77
2020-02-25,74
2020-02-26,75
2020-02-27,74
2020-02-28,84
2020-02-29,98
2020-03-01,88
2020-03-02,69
2020-03-03,70
2020-03-04,72
2020-03-05,74
2020-03-06,83
2020-03-07,95
2020-03-08,87
2020-03-09,70
2020-03-10,68
2020-03-11,66
2020-03-12,62
2020-03-13,66
2020-03-14,75
2020-03-15,69
2020-03-16,52
2020-03-17,51
2020-03-18,48
2020-03-19,46
2020-03-20,46
2020-03-21,50
2020-03-22,47
2020-03-23,43
2020-03-24,43
2020-03-25,43
2020-03-26,43
2020-03-27,45
2020-03-28,49
2020-03-29,48
2020-03-30,43
2020-03-31,43
2020-04-01,43
2020-04-02,42
2020-04-03,46
2020-04-04,50
2020-04-05,47
2020-04-06,43
2020-04-07,43
2020-04-08,45
2020-04-09,45
2020-04-10,49
2020-04-11,50
2020-04-12,47
2020-04-13,47
2020-04-14,46
2020-04-15,46
2020-04-16,47
2020-04-17,52
2020-04-18,54
2020-04-19,52
2020-04-20,48
2020-04-21,48
2020-04-22,49
2020-04-23,55
2020-04-24,60
2020-04-25,60
2020-04-26,58
2020-04-27,52
2020-04-28,56
2020-04-29,59
2020-04-30,52
2020-05-01,56
2020-05-02,59
2020-05-03,57
2020-05-04,53
2020-05-05,53
2020-05-06,52
2020-05-07,52
2020-05-08,57
2020-05-09,61
2020-05-10,58
2020-05-11,53
2020-05-12,56
2020-05-13,54
2020-05-14,55
2020-05-15,59
2020-05-16,68
2020-05-17,65
2020-05-18,58
2020-05-19,58
2020-05-20,58
2020-05-21,61
2020-05-22,63
2020-05-23,68
2020-05-24,66
2020-05-25,59
2020-05-26,57
2020-05-27,60
2020-05-28,61
2020-05-29,64
2020-05-30,68
2020-05-31,65
2020-06-01,59
2020-06-02,59
2020-06-03,59
2020-06-04,60
2020-06-05,66
2020-06-06,75
2020-06-07,72
2020-06-08,62
2020-06-09,63
2020-06-10,66
2020-06-11,68
2020-06-12,73
2020-06-13,81
2020-06-14,75
2020-06-15,65
2020-06-16,65
2020-06-17,67
2020-06-18,68
2020-06-19,73
2020-06-20,81
2020-06-21,76
2020-06-22,67
2020-06-23,66
2020-06-24,68
2020-06-25,66
2020-06-26,75
2020-06-27,81
2020-06-28,78
2020-06-29,70
2020-06-30,66
2020-07-01,68
2020-07-02,69
2020-07-03,75
2020-07-04,82
2020-07-05,75
2020-07-06,68
2020-07-07,67
2020-07-08,66
2020-07-09,70
2020-07-10,74
2020-07-11,83
2020-07-12,78
2020-07-13,69
2020-07-14,70
2020-07-15,68
2020-07-16,69
2020-07-17,76
2020-07-18,84
2020-07-19,79
2020-07-20,71
2020-07-21,70
2020-07-22,71
2020-07-23,72
2020-07-24,79
2020-07-25,88
2020-07-26,82
2020-07-27,69
2020-07-28,70
2020-07-29,72
2020-07-30,71
2020-07-31,78
2020-08-01,83
2020-08-02,81
2020-08-03,71
2020-08-04,69
2020-08-05,71
2020-08-06,71
2020-08-07,76
2020-08-08,86
2020-08-09,81
2020-08-10,69
2020-08-11,70
2020-08-12,72
2020-08-13,72
2020-08-14,77
2020-08-15,87
2020-08-16,83
2020-08-17,72
2020-08-18,70
