Category: All categories

Day,restaurant: (United Kingdom)
2020-01-12,63
2020-01-13,52
2020-01-14,54
2020-01-15,55
2020-01-16,58
2020-01-17,65
2020-01-18,76
2020-01-19,64
2020-01-20,60
2020-01-21,55
2020-01-22,59
2020-01-23,62
2020-01-24,66
2020-01-25,77
2020-01-26,64
2020-01-27,57
2020-01-28,53
2020-01-29,52
2020-01-30,56
2020-01-31,61
2020-02-01,72
2020-02-02,61
2020-02-03,57
2020-02-04,57
2020-02-05,57
2020-02-06,59
2020-02-07,65
2020-02-08,77
2020-02-09,60
2020-02-10,60
2020-02-11,58
2020-02-12,66
2020-02-13,63
2020-02-14,81
2020-02-15,78
2020-02-16,61
2020-02-17,61
2020-02-18,61
2020-02-19,59
2020-02-20,57
2020-02-21,68
2020-02-22,75
2020-02-23,58
2020-02-24,50
2020-02-25,50
2020-02-26,51
2020-02-27,53
2020-02-28,60
2020-02-29,72
2020-03-01,58
2020-03-02,47
2020-03-03,52
2020-03-04,50
2020-03-05,48
2020-03-06,57
2020-03-07,69
2020-03-08,56
2020-03-09,46
2020-03-10,42
2020-03-11,39
2020-03-12,38
2020-03-13,46
2020-03-14,52
2020-03-15,40
2020-03-16,31
2020-03-17,31
2020-03-18,30
2020-03-19,26
2020-03-20,33
2020-03-21,31
2020-03-22,24
2020-03-23,16
2020-03-24,19
2020-03-25,17
2020-03-26,16
2020-03-27,21
2020-03-28,25
2020-03-29,17
2020-03-30,21
2020-03-31,20
2020-04-01,25
2020-04-02,20
2020-04-03,23
2020-04-04,28
2020-04-05,17
2020-04-06,16
2020-04-07,20
2020-04-08,21
2020-04-09,21
2020-04-10,22
2020-04-11,24
2020-04-12,19
2020-04-13,20
2020-04-14,21
2020-04-15,22
2020-04-16,20
2020-04-17,23
2020-04-18,28
2020-04-19,22
2020-04-20,18
2020-04-21,21
2020-04-22,17
2020-04-23,17
2020-04-24,23
2020-04-25,24
2020-04-26,22
2020-04-27,17
2020-04-28,20
2020-04-29,20
2020-04-30,19
2020-05-01,23
2020-05-02,27
2020-05-03,23
2020-05-04,18
2020-05-05,20
2020-05-06,22
2020-05-07,20
2020-05-08,24
2020-05-09,25
2020-05-10,24
2020-05-11,19
2020-05-12,21
2020-05-13,21
2020-05-14,19
2020-05-15,23
2020-05-16,27
2020-05-17,23
2020-05-18,20
2020-05-19,19
2020-05-20,22
2020-05-21,21
2020-05-22,26
2020-05-23,28
2020-05-24,24
2020-05-25,23
2020-05-26,19
2020-05-27,20
2020-05-28,21
2020-05-29,24
2020-05-30,25
2020-05-31,23
2020-06-01,19
2020-06-02,21
2020-06-03,21
2020-06-04,21
2020-06-05,24
2020-06-06,28
2020-06-07,25
2020-06-08,22
2020-06-09,24
2020-06-10,22
2020-06-11,20
2020-06-12,25
2020-06-13,29
2020-06-14,28
2020-06-15,22
2020-06-16,23
2020-06-17,22
2020-06-18,24
2020-06-19,24
2020-06-20,29
2020-06-21,32
2020-06-22,26
2020-06-23,30
2020-06-24,28
2020-06-25,25
2020-06-26,29
2020-06-27,34
2020-06-28,32
2020-06-29,32
2020-06-30,31
2020-07-01,33
2020-07-02,32
2020-07-03,39
2020-07-04,51
2020-07-05,52
2020-07-06,43
2020-07-07,42
2020-07-08,48
2020-07-09,45
2020-07-10,48
2020-07-11,53
2020-07-12,52
2020-07-13,46
2020-07-14,44
2020-07-15,49
2020-07-16,49
2020-07-17,53
2020-07-18,59
2020-07-19,58
2020-07-20,51
2020-07-21,54
2020-07-22,56
2020-07-23,55
2020-07-24,61
2020-07-25,67
2020-07-26,61
2020-07-27,54
2020-07-28,61
2020-07-29,62
2020-07-30,62
2020-07-31,64
2020-08-01,72
2020-08-02,71
2020-08-03,86
2020-08-04,89
2020-08-05,84
2020-08-06,65
2020-08-07,66
2020-08-08,76
2020-08-09,78
2020-08-10,92
2020-08-11,93
2020-08-12,90
2020-08-13,62
2020-08-14,68
2020-08-15,76
2020-08-16,79
2020-08-17,94
2020-08-18,100
