Category: All categories

Week,Cafe: (United States)
2019-09-01,86
2019-09-08,81
2019-09-15,82
2019-09-22,83
2019-09-29,84
2019-10-06,85
2019-10-13,85
2019-10-20,81
2019-10-27,78
2019-11-03,85
2019-11-10,83
2019-11-17,80
2019-11-24,81
2019-12-01,74
2019-12-08,77
2019-12-15,79
2019-12-22,91
2019-12-29,100
2020-01-05,81
2020-01-12,81
2020-01-19,89
2020-01-26,81
2020-02-02,82
2020-02-09,90
2020-02-16,93
2020-02-23,87
2020-03-01,82
2020-03-08,73
2020-03-15,58
2020-03-22,52
2020-03-29,50
2020-04-05,52
2020-04-12,54
2020-04-19,56
2020-04-26,59
2020-05-03,66
2020-05-10,68
2020-05-17,70
2020-05-24,71
2020-05-31,73
2020-06-07,77
2020-06-14,81
2020-06-21,82
2020-06-28,79
2020-07-05,76
2020-07-12,76
2020-07-19,89
2020-07-26,86
2020-08-02,81
2020-08-09,80
2020-08-16,79
2020-08-23,96
