Category: All categories

Week,DIY: (United States)
2019-09-01,50
2019-09-08,50
2019-09-15,52
2019-09-22,53
2019-09-29,56
2019-10-06,60
2019-10-13,66
2019-10-20,80
2019-10-27,83
2019-11-03,50
2019-11-10,50
2019-11-17,50
2019-11-24,51
2019-12-01,53
2019-12-08,53
2019-12-15,54
2019-12-22,51
2019-12-29,53
2020-01-05,46
2020-01-12,47
2020-01-19,48
2020-01-26,45
2020-02-02,46
2020-02-09,49
2020-02-16,47
2020-02-23,45
2020-03-01,49
2020-03-08,52
2020-03-15,59
2020-03-22,75
2020-03-29,92
2020-04-05,100
2020-04-12,86
2020-04-19,86
2020-04-26,88
2020-05-03,88
2020-05-10,79
2020-05-17,78
2020-05-24,76
2020-05-31,68
2020-06-07,68
2020-06-14,70
2020-06-21,65
2020-06-28,65
2020-07-05,63
2020-07-12,63
2020-07-19,63
2020-07-26,63
2020-08-02,61
2020-08-09,60
2020-08-16,59
2020-08-23,70
