Category: All categories

Week,Restaurant: (United States)
2019-09-01,84
2019-09-08,80
2019-09-15,82
2019-09-22,82
2019-09-29,81
2019-10-06,81
2019-10-13,82
2019-10-20,81
2019-10-27,76
2019-11-03,85
2019-11-10,82
2019-11-17,79
2019-11-24,79
2019-12-01,73
2019-12-08,81
2019-12-15,82
2019-12-22,100
2019-12-29,99
2020-01-05,84
2020-01-12,88
2020-01-19,93
2020-01-26,83
2020-02-02,84
2020-02-09,97
2020-02-16,90
2020-02-23,87
2020-03-01,84
2020-03-08,70
2020-03-15,66
2020-03-22,49
2020-03-29,48
2020-04-05,50
2020-04-12,50
2020-04-19,50
2020-04-26,54
2020-05-03,64
2020-05-10,65
2020-05-17,64
2020-05-24,66
2020-05-31,67
2020-06-07,75
2020-06-14,81
2020-06-21,83
2020-06-28,77
2020-07-05,76
2020-07-12,74
2020-07-19,76
2020-07-26,76
2020-08-02,76
2020-08-09,76
2020-08-16,77
2020-08-23,95
