,dateRep,flag,driving,transit,walking,Bar,Cafe,Restaurant,Sewing,DIY,Homeschooling,Home_Workout,Tests per 1000 (7DA)
9,2020-01-13,0.0,100.0,100.0,100.0,71,43,48,32,36,10,11,0.0
24,2020-01-14,0.0,104.86,104.2,106.14,72,39,47,32,34,8,8,0.0
28,2020-01-15,0.0,106.4,105.37,114.37,70,45,48,31,32,5,8,0.0
48,2020-01-16,0.0,104.28,103.89,112.59,75,43,49,36,34,7,10,0.0
63,2020-01-17,0.0,109.27,109.38,128.99,85,46,53,29,33,6,5,0.0
65,2020-01-18,0.0,108.3,115.05,157.81,89,59,67,38,48,5,6,0.0
82,2020-01-19,0.0,94.3,99.52,101.98,75,62,55,33,43,5,9,0.0
94,2020-01-20,0.0,103.22,103.88,109.43,75,48,50,27,39,8,9,0.0
112,2020-01-21,0.0,107.88,108.0,118.46,75,44,47,29,32,11,8,0.0
120,2020-01-22,0.0,108.79,110.91,122.92,73,45,50,30,33,9,12,0.0
141,2020-01-23,0.0,106.41,108.37,122.03,76,45,51,37,35,8,9,0.0
155,2020-01-24,0.0,113.54,115.49,139.4,87,50,55,30,40,6,6,0.0
166,2020-01-25,0.0,111.13,118.64,165.49,92,57,67,34,46,5,5,0.0
169,2020-01-26,0.0,95.33,100.95,97.84,74,55,53,33,47,7,13,0.0
190,2020-01-27,0.0,101.81,103.81,104.79,73,45,48,28,41,8,3,0.0
195,2020-01-28,0.0,105.64,105.67,113.53,71,43,46,29,33,7,10,0.0
211,2020-01-29,0.0,106.97,109.06,122.36,71,43,45,30,35,11,7,0.0
232,2020-01-30,0.0,105.43,108.51,119.75,75,42,47,29,34,9,9,0.0
238,2020-01-31,0.0,114.55,118.03,143.62,78,45,50,32,33,7,7,0.0
256,2020-02-01,0.0,112.34,119.31,169.08,87,59,63,34,43,6,8,0.0
269,2020-02-02,0.0,96.88,105.44,103.22,81,61,53,37,45,9,10,0.0
283,2020-02-03,0.0,100.79,104.05,106.76,72,47,48,29,38,8,11,0.0
298,2020-02-04,0.0,106.62,106.8,115.85,75,48,48,26,34,10,8,0.0
302,2020-02-05,0.0,107.82,109.37,124.21,78,49,49,33,34,10,8,0.0
315,2020-02-06,0.0,107.32,108.48,123.83,80,49,50,30,32,6,7,0.0
330,2020-02-07,0.0,114.77,116.15,142.03,81,48,54,30,36,5,6,0.0
349,2020-02-08,0.0,111.59,122.06,169.55,95,56,64,32,45,6,4,0.0
351,2020-02-09,0.0,95.17,100.52,79.14,75,52,53,32,44,6,12,0.0
376,2020-02-10,0.0,108.75,106.76,101.55,74,50,51,32,36,8,6,0.0
389,2020-02-11,0.0,108.02,107.86,111.72,78,42,52,32,36,9,8,0.0
390,2020-02-12,0.0,108.95,110.08,122.43,75,48,54,29,41,6,6,0.0
408,2020-02-13,0.0,109.78,107.83,120.97,77,45,56,29,39,7,8,0.0
425,2020-02-14,0.0,119.65,117.79,153.72,82,50,67,31,32,8,6,0.0
435,2020-02-15,0.0,109.55,119.0,152.82,87,57,65,37,45,5,6,0.0
446,2020-02-16,0.0,101.42,109.71,98.69,75,59,55,35,43,6,9,0.0
464,2020-02-17,0.0,118.6,119.36,128.1,80,59,53,32,38,4,10,0.0
480,2020-02-18,0.0,119.26,118.76,130.01,76,54,54,30,39,5,11,0.0
486,2020-02-19,0.0,121.56,121.93,136.18,77,57,51,34,51,7,8,0.0
496,2020-02-20,0.0,118.33,118.81,131.67,92,51,51,28,39,4,10,0.0
510,2020-02-21,0.0,127.35,126.56,152.89,88,59,57,34,40,7,5,0.0
522,2020-02-22,0.0,115.64,126.9,169.46,89,60,65,36,41,4,7,0.0
545,2020-02-23,0.0,101.34,105.46,101.08,76,58,49,33,46,8,7,0.0
550,2020-02-24,0.0,108.75,107.92,104.26,72,42,42,32,37,9,8,0.0
564,2020-02-25,0.0,108.16,108.13,115.57,72,42,42,32,38,11,10,0.0
580,2020-02-26,0.0,109.74,108.85,121.26,73,44,44,28,40,9,10,0.0
586,2020-02-27,0.0,109.6,108.32,119.74,75,46,46,29,36,7,8,0.0
603,2020-02-28,0.0,122.59,118.5,138.49,84,49,52,28,39,9,3,0.0
615,2020-02-29,0.0,115.93,118.75,162.75,92,55,63,31,47,7,9,0.0
636,2020-03-01,0.0,100.48,103.74,105.44,78,60,52,35,48,7,10,0.0
648,2020-03-02,0.0,104.64,103.96,107.54,70,47,40,31,42,11,8,0.0071081081081081085
655,2020-03-03,0.0,108.34,105.51,114.84,76,43,44,35,51,12,7,0.014216216216216217
664,2020-03-04,1.0,109.59,106.1,116.67,71,44,43,28,58,9,9,0.021324324324324326
684,2020-03-05,2.0,109.18,105.14,110.07,71,43,40,26,43,4,7,0.028432432432432434
687,2020-03-06,3.0,118.61,114.68,144.51,80,48,47,29,34,8,5,0.035540540540540545
702,2020-03-07,4.0,115.05,118.05,172.59,85,62,58,30,43,4,6,0.04264864864864865
726,2020-03-08,5.0,97.9,97.76,101.39,76,56,49,31,48,9,6,0.04975675675675676
732,2020-03-09,6.0,101.47,99.0,100.87,67,43,40,29,36,8,6,0.05686486486486487
753,2020-03-10,7.0,102.73,99.54,108.28,65,37,38,30,39,10,9,0.06397297297297298
770,2020-03-11,8.0,102.32,95.28,111.71,65,40,36,29,34,7,5,0.07108108108108109
773,2020-03-12,9.0,94.18,86.55,102.65,56,36,32,24,30,10,8,0.0781891891891892
800,2020-03-13,10.0,99.62,88.77,117.26,64,37,37,28,34,7,9,0.0852972972972973
810,2020-03-14,11.0,94.11,88.31,132.4,73,43,45,30,47,11,11,0.09240540540540541
834,2020-03-15,12.0,76.22,67.17,73.47,60,43,33,30,50,12,16,0.09951351351351352
838,2020-03-16,13.0,79.05,61.47,75.75,52,31,28,24,33,22,28,0.10662162162162163
854,2020-03-17,14.0,69.91,49.57,62.55,48,28,26,25,38,21,28,0.11372972972972974
875,2020-03-18,15.0,66.55,43.41,56.11,46,27,24,24,35,64,39,0.12083783783783784
894,2020-03-19,16.0,67.07,41.52,54.04,46,25,22,28,35,77,42,0.12794594594594597
919,2020-03-20,17.0,68.81,37.97,58.17,56,41,31,32,44,67,55,0.13505405405405407
