,deaths,deaths18,dateRep,cases,cases7
9,0,0.0,2020-01-13,0,0.0
15,0,0.0,2020-01-14,0,0.0
34,0,0.0,2020-01-15,0,0.0
44,0,0.0,2020-01-16,0,0.0
60,0,0.0,2020-01-17,0,0.0
66,0,0.0,2020-01-18,0,0.0
80,0,0.0,2020-01-19,0,0.0
98,0,0.0,2020-01-20,0,0.0
114,0,0.0,2020-01-21,0,0.0
128,0,0.0,2020-01-22,0,0.0
131,0,0.0,2020-01-23,0,0.0
150,0,0.0,2020-01-24,0,0.0
164,0,0.0,2020-01-25,0,2.0
179,0,0.0,2020-01-26,0,0.0
183,0,0.0,2020-01-27,0,0.0
200,0,0.0,2020-01-28,0,0.0
208,0,0.0,2020-01-29,0,1.0
221,0,0.0,2020-01-30,0,0.0
241,0,0.0,2020-01-31,0,1.0
259,0,0.0,2020-02-01,2,0.0
270,0,0.0,2020-02-02,0,0.0
280,0,0.0,2020-02-03,0,4.0
296,0,0.0,2020-02-04,0,1.0
306,0,0.0,2020-02-05,1,0.0
320,0,0.0,2020-02-06,0,1.0
334,0,0.0,2020-02-07,1,0.0
339,0,0.0,2020-02-08,0,0.0
361,0,0.0,2020-02-09,0,0.0
376,0,0.0,2020-02-10,4,0.0
382,0,0.0,2020-02-11,1,0.0
402,0,0.0,2020-02-12,0,0.0
407,0,0.0,2020-02-13,1,0.0
424,0,0.0,2020-02-14,0,0.0
437,0,0.0,2020-02-15,0,0.0
443,0,0.0,2020-02-16,0,1.0
464,0,0.0,2020-02-17,0,0.0
478,0,1.0,2020-02-18,0,0.0
491,0,1.0,2020-02-19,0,2.0
499,0,0.0,2020-02-20,0,5.0
511,0,1.0,2020-02-21,0,4.0
524,0,4.0,2020-02-22,0,8.0
535,0,0.0,2020-02-23,1,12.0
555,0,2.0,2020-02-24,0,5.0
569,0,1.0,2020-02-25,0,22.0
575,0,19.0,2020-02-26,2,40.0
597,0,14.0,2020-02-27,5,55.0
605,0,22.0,2020-02-28,4,56.0
612,0,17.0,2020-02-29,8,51.0
630,0,34.0,2020-03-01,12,81.0
642,0,46.0,2020-03-02,5,60.0
660,0,32.0,2020-03-03,22,57.0
670,0,58.0,2020-03-04,40,148.0
680,0,36.0,2020-03-05,55,259.0
697,0,76.0,2020-03-06,56,406.0
706,1,148.0,2020-03-07,51,484.0
716,1,191.0,2020-03-08,81,478.0
740,0,181.0,2020-03-09,60,361.0
747,1,288.0,2020-03-10,57,442.0
757,4,292.0,2020-03-11,148,611.0
781,0,212.0,2020-03-12,259,769.0
787,2,374.0,2020-03-13,406,999.0
811,1,403.0,2020-03-14,484,1055.0
825,19,672.0,2020-03-15,478,1255.0
842,14,657.0,2020-03-16,361,1198.0
856,22,736.0,2020-03-17,442,1378.0
885,17,756.0,2020-03-18,611,2338.0
902,34,599.0,2020-03-19,769,2375.0
918,46,567.0,2020-03-20,999,2692.0
937,32,1105.0,2020-03-21,1055,3087.0
948,58,1030.0,2020-03-22,1255,3197.0
971,36,1116.0,2020-03-23,1198,2822.0
973,76,1122.0,2020-03-24,1378,2858.0
1000,148,843.0,2020-03-25,2338,4273.0
1007,191,657.0,2020-03-26,2375,4514.0
1034,181,724.0,2020-03-27,2692,4913.0
1042,288,1076.0,2020-03-28,3087,4868.0
1070,292,880.0,2020-03-29,3197,4911.0
1079,212,1036.0,2020-03-30,2822,4020.0
1091,374,913.0,2020-03-31,2858,3592.0
1112,403,1105.0,2020-04-01,4273,5282.0
1140,672,432.0,2020-04-02,4514,5450.0
1151,657,570.0,2020-04-03,4913,5131.0
1170,736,1224.0,2020-04-04,4868,4858.0
1185,756,847.0,2020-04-05,4911,4313.0
1196,599,682.0,2020-04-06,4020,3579.0
1215,567,1010.0,2020-04-07,3592,3489.0
1238,1105,815.0,2020-04-08,5282,4178.0
1244,1030,364.0,2020-04-09,5450,4326.0
1271,1116,320.0,2020-04-10,5131,5065.0
1283,1122,969.0,2020-04-11,4858,5292.0
1300,843,769.0,2020-04-12,4313,4956.0
1319,657,634.0,2020-04-13,3579,4721.0
1336,724,698.0,2020-04-14,3489,3853.0
1359,1076,584.0,2020-04-15,4178,4854.0
1378,880,253.0,2020-04-16,4326,4760.0
1383,1036,272.0,2020-04-17,5065,5487.0
1406,913,726.0,2020-04-18,5292,5158.0
1423,1105,647.0,2020-04-19,4956,4970.0
1443,432,458.0,2020-04-20,4721,3748.0
1450,570,579.0,2020-04-21,3853,3473.0
1478,1224,275.0,2020-04-22,4854,4706.0
1484,847,614.0,2020-04-23,4760,4729.0
1502,682,447.0,2020-04-24,5487,5442.0
1521,1010,352.0,2020-04-25,5158,4966.0
1544,815,350.0,2020-04-26,4970,4737.0
1565,364,411.0,2020-04-27,3748,3229.0
1576,320,67.0,2020-04-28,3473,2982.0
1589,969,146.0,2020-04-29,4706,3389.0
1614,769,500.0,2020-04-30,4729,3682.0
1628,634,328.0,2020-05-01,5442,3827.0
1646,698,273.0,2020-05-02,4966,3767.0
1653,584,291.0,2020-05-03,4737,3063.0
1673,253,220.0,2020-05-04,3229,3586.0
1688,272,379.0,2020-05-05,2982,3402.0
1717,726,104.0,2020-05-06,3389,3307.0
1724,647,131.0,2020-05-07,3682,2628.0
1751,458,422.0,2020-05-08,3827,2526.0
1765,579,343.0,2020-05-09,3767,2079.0
1780,275,274.0,2020-05-10,3063,1838.0
1793,614,154.0,2020-05-13,3586,2589.0
1809,447,60.0,2020-05-14,3402,3052.0
1831,352,86.0,2020-05-15,3307,2718.0
1855,350,249.0,2020-05-16,2628,2574.0
1861,411,254.0,2020-05-17,2526,2062.0
1877,67,130.0,2020-05-18,2079,1527.0
1895,146,258.0,2020-05-19,1838,1364.0
1922,500,143.0,2020-05-20,2589,1624.0
1928,328,54.0,2020-05-21,3052,1672.0
1951,273,47.0,2020-05-22,2718,1835.0
1964,291,195.0,2020-05-23,2574,1760.0
1979,220,164.0,2020-05-24,2062,1527.0
1992,379,76.0,2020-05-25,1527,1125.0
2025,104,131.0,2020-05-26,1364,1079.0
2031,131,107.0,2020-05-27,1624,1441.0
2047,422,27.0,2020-05-28,1672,1484.0
2070,343,29.0,2020-05-29,1835,1356.0
2090,274,120.0,2020-05-30,1760,1243.0
2109,154,110.0,2020-05-31,1527,1120.0
2114,60,67.0,2020-06-01,1125,801.0
2132,86,84.0,2020-06-02,1079,721.0
2158,249,71.0,2020-06-03,1441,1099.0
2165,254,31.0,2020-06-04,1484,1158.0
2183,130,14.0,2020-06-05,1356,1199.0
2199,258,94.0,2020-06-06,1243,1017.0
2229,143,87.0,2020-06-07,1120,1052.0
2234,54,99.0,2020-06-08,801,890.0
2258,47,77.0,2020-06-09,721,822.0
2265,195,40.0,2020-06-10,1099,1043.0
2289,164,31.0,2020-06-11,1158,1102.0
2309,76,21.0,2020-06-12,1199,1013.0
2318,131,53.0,2020-06-13,1017,1027.0
2346,107,97.0,2020-06-14,1052,986.0
2349,27,41.0,2020-06-15,890,687.0
2376,29,49.0,2020-06-16,822,639.0
2390,120,32.0,2020-06-17,1043,896.0
2416,110,19.0,2020-06-18,1102,886.0
2424,67,11.0,2020-06-19,1013,778.0
2442,84,54.0,2020-06-20,1027,721.0
2454,71,57.0,2020-06-21,986,671.0
2482,31,31.0,2020-06-22,687,649.0
2496,14,34.0,2020-06-23,639,446.0
2517,94,17.0,2020-06-24,896,730.0
2529,87,9.0,2020-06-25,886,617.0
2544,99,10.0,2020-06-26,778,651.0
2553,77,44.0,2020-06-27,721,602.0
2583,40,26.0,2020-06-28,671,579.0
2591,31,24.0,2020-06-29,649,401.0
2608,21,26.0,2020-06-30,446,555.0
2629,53,9.0,2020-07-01,730,704.0
2643,97,11.0,2020-07-02,617,597.0
2663,41,10.0,2020-07-03,651,693.0
2687,49,25.0,2020-07-04,602,715.0
2693,32,17.0,2020-07-05,579,565.0
2712,19,9.0,2020-07-06,401,442.0
2738,11,32.0,2020-07-07,555,361.0
2748,54,15.0,2020-07-08,704,726.0
2769,57,8.0,2020-07-09,597,685.0
2778,31,3.0,2020-07-10,693,772.0
2801,34,21.0,2020-07-11,715,704.0
2823,17,34.0,2020-07-12,565,569.0
2829,9,0.0,2020-07-13,442,493.0
2845,10,20.0,2020-07-14,361,413.0
2871,44,13.0,2020-07-15,726,793.0
2881,26,5.0,2020-07-16,685,751.0
2893,24,1.0,2020-07-17,772,773.0
2924,26,18.0,2020-07-18,704,731.0
2939,9,14.0,2020-07-19,569,667.0
2958,11,18.0,2020-07-20,493,421.0
2964,10,12.0,2020-07-21,413,371.0
2980,25,3.0,2020-07-22,793,70.0
3004,17,5.0,2020-07-23,751,763.0
3023,9,18.0,2020-07-24,773,846.0
3035,32,13.0,2020-07-25,731,880.0
3057,15,20.0,2020-07-26,667,771.0
3066,8,18.0,2020-07-27,421,743.0
3088,3,11.0,2020-07-28,371,928.0
3109,21,3.0,2020-07-29,70,670.0
3122,34,5.0,2020-07-30,763,891.0
3146,0,3.0,2020-07-31,846,950.0
