,dateRep,cases,deaths,countriesAndTerritories,geoId,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,Bar,Cafe,Restaurant,Sewing,DIY,Homeschooling,Home_Workout,Tests per 1000 (7DA),deaths18,cases7
9,2020-01-13,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,100.0,100.0,100.0,71,43,48,32,36,10,11,0.0,0.0,0.0
24,2020-01-14,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,104.86,104.2,106.14,72,39,47,32,34,8,8,0.0,0.0,0.0
28,2020-01-15,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,106.4,105.37,114.37,70,45,48,31,32,5,8,0.0,0.0,0.0
48,2020-01-16,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,104.28,103.89,112.59,75,43,49,36,34,7,10,0.0,0.0,0.0
63,2020-01-17,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,109.27,109.38,128.99,85,46,53,29,33,6,5,0.0,0.0,0.0
65,2020-01-18,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,108.3,115.05,157.81,89,59,67,38,48,5,6,0.0,0.0,0.0
82,2020-01-19,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,94.3,99.52,101.98,75,62,55,33,43,5,9,0.0,0.0,0.0
94,2020-01-20,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,103.22,103.88,109.43,75,48,50,27,39,8,9,0.0,0.0,0.0
112,2020-01-21,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,107.88,108.0,118.46,75,44,47,29,32,11,8,0.0,0.0,0.0
120,2020-01-22,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,108.79,110.91,122.92,73,45,50,30,33,9,12,0.0,0.0,0.0
141,2020-01-23,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,106.41,108.37,122.03,76,45,51,37,35,8,9,0.0,0.0,0.0
155,2020-01-24,0,0,United_Kingdom,UK,66647112.0,Europe,0.0,0,0,0.0,113.54,115.49,139.4,87,50,55,30,40,6,6,0.0,0.0,0.0
